>>>>>>>>>>>>>>>>>> Starting Map Index for tem_chernarusw on 5/28/2023 6:11:55 AM
>>>>>>>>>>>>>>>>>> pathToMap: C:\Program Files (x86)\Steam\steamapps\common\Arma 3\@Northern Fronts Terrains\Addons\tem_chernarusw.pbo
>>>>>>>>>>>>>>>>>> root: C:\Program Files (x86)\Steam\steamapps\common\Arma 3\@ALiVE
>>>>>>>>>>>>>>>>>> folder: C:\Program Files (x86)\Steam\steamapps\common\Arma 3\@ALiVE\indexing
>>>>>>>>>>>>>>>>>> logfile: C:\Program Files (x86)\Steam\steamapps\common\Arma 3\@ALiVE\indexing\tem_chernarusw\log.txt
>>>>>>>>>>>>>>>>>> indexfile: C:\Program Files (x86)\Steam\steamapps\common\Arma 3\@ALiVE\indexing\tem_chernarusw\x\alive\addons\fnc_strategic\indexes\objects.tem_chernarusw.sqf
>>>>>>>>>>>>>>>>>> parsedIndexfile: C:\Program Files (x86)\Steam\steamapps\common\Arma 3\@ALiVE\indexing\tem_chernarusw\x\alive\addons\fnc_strategic\indexes\parsed.objects.tem_chernarusw.sqf
>>>>>>>>>>>>>>>>>> blacklist file: C:\Program Files (x86)\Steam\steamapps\common\Arma 3\@ALiVE\alive_object_blacklist.txt
Executing deWrp: DeWrp.exe -O "C:\Program Files (x86)\Steam\steamapps\common\Arma 3\@Northern Fronts Terrains\Addons\tem_chernarusw.pbo"
deWrp analysis completed
 ----- Ignoring : 	["ww2\objects_m\vegetation\i44_plants_winter_m\i44_smrk_siroky_w.p3d",
	["ca\structures\mil\mil_barracks.p3d",
	["a3\structures_f_enoch\military\barracks\guardtower_01_f.p3d",
	["a3\structures_f_enoch\ruins\houseruin_big_03_half_f.p3d",
	["a3\structures_f_enoch\ruins\houseruin_big_03_f.p3d",
	["ca\structures\ind_sawmill\ind_sawmillpen.p3d",
	["a3\structures_f_enoch\ruins\houseruin_big_01_f.p3d",
	["ww2\objects_m\structures\cup_structureswinter_m\barn_w\cup_barn_w_01_dam_w.p3d",
	["a3\structures_f_enoch\cultural\castleruins\castleruins_01_wall_d_l_f.p3d",
	["a3\structures_f_enoch\ruins\houseruin_big_01_half_f.p3d",
>>>>>>>>>>>>>>>>>> Copying C:\Program Files (x86)\Steam\steamapps\common\Arma 3\@ALiVE\indexing\tem_chernarusw\x\alive\addons\fnc_strategic\indexes\parsed.objects.tem_chernarusw.sqf to C:\Program Files (x86)\Steam\steamapps\common\Arma 3\@ALiVE\indexing\tem_chernarusw\x\alive\addons\fnc_strategic\indexes\objects.tem_chernarusw.sqf
Parsing Complete
No Static data file found.
Starting Cluster Generation, check in game RPT for more details.
civ Cluster small number erased: _nodes set [count _nodes, ["670789",[3801.8,2598.73,6.86646e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["687856",[7003.17,2653.58,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["688476",[7060.62,2530.91,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["684238",[6338.27,2300.4,-6.48499e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1055823",[10344.2,2068.72,7.62939e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1056877",[10468.1,2101.77,3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1056193",[10464.5,2132.08,3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1056896",[10493.1,2116,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1057230",[10554.6,2092.82,9.91821e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1057171",[10459.4,2056.44,-8.39233e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1051233",[10603.9,2424.03,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["880292",[12675.2,9464.18,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["880369",[12730.8,9452.64,3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["880067",[12889.8,9584.54,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["843366",[12766.7,10003.2,-1.90735e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["842955",[12841.5,10137.6,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["861563",[11916,9150.54,-7.62939e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["984016",[13350.5,5450.73,-1.14441e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["370366",[6133.64,7739.83,-3.05176e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["134228",[4999.28,12526.6,3.05176e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["873245",[10687,8014.17,-1.52588e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["868831",[10675.4,7996.34,-1.52588e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["457922",[2595.28,5066.79,-1.52588e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["443165",[2547.58,5508.73,-6.10352e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["516943",[4961.85,5604.81,9.15527e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["282881",[3049.87,8021.02,-3.05176e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["752942",[11567.7,12421.7,1.52588e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["304682",[2996.62,7470.8,-3.05176e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1055823",[10344.2,2068.72,7.62939e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1056877",[10468.1,2101.77,3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1056193",[10464.5,2132.08,3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1056896",[10493.1,2116,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1057230",[10554.6,2092.82,9.91821e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1057171",[10459.4,2056.44,-8.39233e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["1051233",[10603.9,2424.03,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["670789",[3801.8,2598.73,6.86646e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["984016",[13350.5,5450.73,-1.14441e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["370366",[6133.64,7739.83,-3.05176e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["134228",[4999.28,12526.6,3.05176e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["873245",[10687,8014.17,-1.52588e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["868831",[10675.4,7996.34,-1.52588e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["861563",[11916,9150.54,-7.62939e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["687856",[7003.17,2653.58,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["688476",[7060.62,2530.91,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["684238",[6338.27,2300.4,-6.48499e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["457922",[2595.28,5066.79,-1.52588e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["443165",[2547.58,5508.73,-6.10352e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["516943",[4961.85,5604.81,9.15527e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["282881",[3049.87,8021.02,-3.05176e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["880292",[12675.2,9464.18,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["880369",[12730.8,9452.64,3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["880067",[12889.8,9584.54,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["843366",[12766.7,10003.2,-1.90735e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["842955",[12841.5,10137.6,-3.8147e-006]]];
civ Cluster small number erased: _nodes set [count _nodes, ["752942",[11567.7,12421.7,1.52588e-005]]];
civ Cluster small number erased: _nodes set [count _nodes, ["304682",[2996.62,7470.8,-3.05176e-005]]];
